"","COUNTRY","Agricultural.Land....","Land.Area.Km2.","Forested.Area....","X2023","Population","Import..US..Thousand.","landlocked","Avg_21_23","invasive_count"
"156","United Kingdom",71.7,"243,610","13.10",2827113184696,66834405,411203957.18,"NO",3006753754326.67,181
"157","United States of America",45.09,"9831510","33.87",2.772e+13,334900000,32,"YES",2.58e+13,1575
"158","Uruguay",82.6,"176,215","10.70",56045912952,3461734,11773500.31,"NO",62878442466,80
"159","Uzbekistan",62.9,"447,400","7.50",57921286440,33580650,13081868.33,"YES",69304585104.6667,54
"160","Vanuatu",15.3,"12,189","36.10",917058851,299882,285467.91,"NO",957425937.833333,92
"161","Venezuela",24.5,"912,050","52.70",482359318768,28515829,3610306.16,"NO",482359318768,45
"162","Vietnam",39.3,"331,210","48.10",261921244843,96462106,420575524.83,"NO",345620404876.333,47
"163","Yemen",44.6,"527,968","1.00",26914402224,29161922,2186875.74,"NO",26914402224,20
"164","Zambia",32.1,"752,618","65.20",23064722446,17861030,9737229.46,"YES",24998942023.6667,119
"165","Zimbabwe",41.9,"390,757","35.50",21440758800,14645468,4333975.75,"YES",23496684354.6667,99
